,global_id,document_type,document_title,xml_source
0,22339,seadus,Ajutise sisseveo konventsiooniga ühinemise seadus,https://www.riigiteataja.ee/akt/22339.xml
1,22340,seadus,Rahvusvahelise Elektersideliidu 1992 . aasta Genfi erakorralise täievolilise konverentsi ja 1994 . aasta Kyoto täievolilise konverentsi lõppaktide ratifitseerimise seadus,https://www.riigiteataja.ee/akt/22340.xml
2,12850741,seadus,Riigikogu töökorra seadus,https://www.riigiteataja.ee/akt/12850741.xml
3,926725,seadus,Tsiviilkohtumenetluse seadustik,https://www.riigiteataja.ee/akt/926725.xml
4,974648,seadus,"Inimõiguste ja põhivabaduste kaitse konventsiooni protokolli nr 14 , millega muudetakse konventsiooni kontrollsüsteemi , ratifitseerimise seadus",https://www.riigiteataja.ee/akt/974648.xml
5,979019,seadus,Korruptsiooni kriminaalõigusliku reguleerimise konventsiooni ratifitseerimise seadus,https://www.riigiteataja.ee/akt/979019.xml
6,12789389,seadus,Piiriveekogude ja rahvusvaheliste järvede kaitse ja kasutamise konventsiooni muudatuse heakskiitmise seadus,https://www.riigiteataja.ee/akt/12789389.xml
7,12790557,seadus,Elektriohutusseadus,https://www.riigiteataja.ee/akt/12790557.xml
8,1031532,seadus,Euroopa põhiseaduse lepingu ratifitseerimise seadus,https://www.riigiteataja.ee/akt/1031532.xml
9,12805972,seadus,Isikuandmete kaitse seadus,https://www.riigiteataja.ee/akt/12805972.xml
10,12768739,seadus,Eesti Vabariigi valitsuse ja Luksemburgi Suurhertsogiriigi valitsuse vahelise tulu- ja kapitalimaksudega topeltmaksustamise vältimise ning maksudest hoidumise tõkestamise lepingu ja selle juurde kuuluva protokolli ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12768739.xml
11,12782432,seadus,Söödaseadus,https://www.riigiteataja.ee/akt/12782432.xml
12,1036443,seadus,Euroopa Liidu kodaniku seadus,https://www.riigiteataja.ee/akt/1036443.xml
13,12742078,seadus,Mahepõllumajanduse seadus,https://www.riigiteataja.ee/akt/12742078.xml
14,1000816,seadus,Eesti Vabariigi ja Hollandi Kuningriigi vahelise tulu- ja kapitalimaksuga topeltmaksustamise vältimise ning maksudest hoidumise tõkestamise lepingu ja selle juurde kuuluva protokolli muutmise protokolli ratifitseerimise seadus,https://www.riigiteataja.ee/akt/1000816.xml
15,1000837,seadus,Haagi Rahvusvahelise Eraõiguse Konverentsi muudetud põhikirja heakskiitmise seadus,https://www.riigiteataja.ee/akt/1000837.xml
16,12747451,seadus,Ida- ja Kesk-Euroopa Kalanduse Arendamise Rahvusvahelise Organisatsiooni ( EUROFISH ) asutamislepingu ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12747451.xml
17,12748580,seadus,"Piinamise ning muu julma , ebainimliku või inimväärikust alandava kohtlemise ja karistamise vastase konventsiooni fakultatiivse protokolli ratifitseerimise seadus",https://www.riigiteataja.ee/akt/12748580.xml
18,12748600,seadus,Rahvusvahelise Hüdrograafiaorganisatsiooni konventsiooni muutmise protokolli heakskiitmise seadus,https://www.riigiteataja.ee/akt/12748600.xml
19,12748615,seadus,Seotud ettevõtjate kasumi korrigeerimisel tekkiva topeltmaksustamise kõrvaldamise konventsiooniga ühinemise konventsiooni ja selle allakirjutamise protokolli ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12748615.xml
20,12748655,seadus,"Partnerlus- ja koostöölepingu , millega seatakse sisse partnerlus ühelt poolt Euroopa ühenduste ja nende liikmesriikide ning teiselt poolt Tadžikistani Vabariigi vahel , ratifitseerimise seadus",https://www.riigiteataja.ee/akt/12748655.xml
21,12748766,seadus,Eesti Vabariigi valitsuse ja Ameerika Ühendriikide valitsuse vahelise lepingu vastastikusest õigusabist kriminaalasjades muutmise kokkuleppe ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12748766.xml
22,12748805,seadus,Eesti Vabariigi valitsuse ja Ameerika Ühendriikide valitsuse vahelise väljaandmislepingu ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12748805.xml
23,12751311,seadus,Ülemäärase kahjustava või purustava toimega tavarelvade kasutamise keelustamise ja piiramise konventsiooni plahvatusohtlikke sõjajäänuseid käsitleva protokolliga ühinemise seadus,https://www.riigiteataja.ee/akt/12751311.xml
24,1023190,seadus,Eesti Vabariigi valitsuse ja Soome Vabariigi valitsuse sotsiaalkindlustuse kokkuleppe ratifitseerimise seadus,https://www.riigiteataja.ee/akt/1023190.xml
25,12754297,seadus,Eesti Vabariigi valitsuse ja Kreeka Vabariigi valitsuse vahelise tulu- ja kapitalimaksudega topeltmaksustamise vältimise ning maksudest hoidumise tõkestamise lepingu ja selle juurde kuuluva protokolli ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12754297.xml
26,12814137,seadus,Andmekogude seadus,https://www.riigiteataja.ee/akt/12814137.xml
27,12845975,seadus,Cotonou lepingu alusel antava ühenduse abi rahastamist ning finantsabi eraldamist teatavatele ülemeremaadele ja -territooriumidele käsitleva Euroopa Liidu liikmesriikide vahelise sisekokkuleppe ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12845975.xml
28,12845981,seadus,Cotonou lepingu muutmislepingu ratifitseerimise seadus,https://www.riigiteataja.ee/akt/12845981.xml
29,12846021,seadus,"Keskkonnainfo kättesaadavuse , keskkonnaasjade otsustamises üldsuse osalemise ning neis asjus kohtu poole pöördumise konventsiooni muudatuse ratifitseerimise seadus",https://www.riigiteataja.ee/akt/12846021.xml
30,1012135,seadus,Euroopa Majanduspiirkonna finantsmehhanismi ja Norra finantsmehhanismi rakendamist käsitlevate vastastikuse mõistmise memorandumite ratifitseerimise seadus,https://www.riigiteataja.ee/akt/1012135.xml
31,179069,seadus,Reisijate ja nende pagasi mereveo 1974 . aasta Ateena konventsiooni ja selle protokolli ratifitseerimise seadus,https://www.riigiteataja.ee/akt/179069.xml
32,262118,seadus,Patendiõiguse lepingu ratifitseerimise seadus,https://www.riigiteataja.ee/akt/262118.xml
33,263000,seadus,Rahvusvahelise õhuveo nõuete ühtlustamise konventsiooni ratifitseerimise seadus,https://www.riigiteataja.ee/akt/263000.xml
34,265092,seadus,Eesti Vabariigi valitsuse ja Vene Föderatsiooni valitsuse vahelise pensionilise kindlustamise alase koostöökokkuleppe ning selle muutmise protokolli ratifitseerimise seadus,https://www.riigiteataja.ee/akt/265092.xml
